source,source_lang,translation_bureau,m2m100_418m_base,m2m100_418m_finetuned,mbart50_mmt_base,mbart50_mmt_finetuned,nllb_3b_base_researchonly,opus_mt_base,opus_mt_finetuned,corpus_type
La présence de marques de filet dans les rivières Gander et Campbellton témoigne vraisemblablement d'activités de pêche illégales dans les eaux côtières,fr,The occurrence of net marks on salmon in the Gander and Campbellton rivers was likely the result of illegal fishing in coasta l waters,The presence of network marks in the Gander and Campbellton rivers is likely to prove illegal fishing activities in coastal waters,The presence of net marks in the Gander and Campbellton rivers likely indicates illegal fishing activities in coastal waters.,The presence of net marks in the Gander and Campbellton Rivers is likely to indicate illegal fishing in coastal waters,The presence of net marks in the Gander and Campbellton rivers likely indicates illegal inshore fishing activities.,The presence of net marks in the Gander and Campbellton rivers is likely evidence of illegal fishing activities in coastal waters,The presence of net marks in the Gander and Campbellton rivers is likely evidence of illegal fishing activity in coastal waters,The presence of net marks in the Gander and Campbellton rivers is likely indicative of illegal fishing activities in coastal waters.,test_data
"fragile thalli lost 20 of its mass, but still showed high levels of photosynthetic activity (Kim and Garbary 2007), while plants left to air-dry for 24 h showed 100 mortality (MacNair 2002)",en,"fragile avaient perdu 20 de leur masse, mais affichaient encore des niveaux élevés d'activité photosynthétique (Kim et Garbary 2007), et la mortalité des plantes laissées sécher à l'air libre pendant 24 heures était inférieure à 100 (MacNair 2002)","Le thalli fragile a perdu 20 de sa masse, mais a toujours montré des niveaux élevés d'activité photosynthétique (Kim et Garbary 2007), tandis que les plantes laissées à l'air sec pendant 24 heures ont montré 100 mortalités (MacNair 2002)","Le talli fragile a perdu 20 de sa masse, mais il a toujours montré des niveaux élevés d'activité photosynthétique (Kim et Garbary 2007), tandis que les plantes laissées à l'air sec pendant 24 heures ont montré une mortalité de 100 (MacNair 2002)","Les thalli fragiles ont perdu 20 p. 100 de leur masse, mais ont toujours montré des niveaux élevés d'activité photosynthétique (Kim et Garbary 2007), tandis que les plantes laissées à sec pendant 24 h ont montré une mortalité de 100 (MacNair 2002)","thalli fragile a perdu 20 de sa masse, mais a toujours montré des niveaux élevés d'activité photosynthétique (Kim et Garbary 2007), tandis que les plantes laissées à l'air séché pendant 24 h ont montré une mortalité de 100 (MacNair 2002)","Le thalli fragile a perdu 20% de sa masse, mais a toujours montré des niveaux élevés d'activité photosynthétique (Kim et Garbary 2007), tandis que les plantes laissées à sécher à l'air pendant 24 h ont montré une mortalité de 100 (MacNair 2002)","Les thalles fragiles ont perdu 20 de leur masse, mais présentaient toujours des niveaux élevés d'activité photosynthétique (Kim et Garbary 2007), tandis que les plantes laissées à l'air libre pendant 24 h présentaient une mortalité de 100 (MacNair 2002).","thalles fragiles ont perdu 20 de leur masse, mais présentaient toujours des niveaux élevés d'activité photosynthétique (Kim et Garbary 2007), tandis que les plantes laissées à l'air sec pendant 24 h présentaient une mortalité de 100 (MacNair 2002).",test_data
Les morses sont absents des échoueries terrestres historiques de l'ouest du Groenland depuis 50 ans,fr,Walrus have been absent from historical terrestrial haul-out sites in West Greenland for the last 50 years,Morse is absent from historic land failures in western Greenland for 50 years,Morse has been absent from the historical western Greenland terrestrial watershed for 50 years.,Cod have been absent from historic land cliffs in western Greenland for 50 years,Cod have been absent from the historical land-based wharves in western Greenland for 50 years.,Walruses have been absent from the historic West Greenland landforms for 50 years.,Walruses have been absent from historic land-based strandings in western Greenland for 50 years,Walruses have been absent from historic land-based haulouts in West Greenland for 50 years,test_data
"For the fourth year since 2001, no subzero bottom water occurred over the Shallows in September in 2006",en,"Pour la quatrième année depuis 2001, aucune température inférieure à 0 oC n'a été enregistrée pour les eaux de fond du plateau madelinien en septembre 2006","Pour la quatrième année depuis 2001, aucune eau souterraine ne s'est produite au-dessus des Shallows en septembre 2006","Pour la quatrième année depuis 2001, aucune eau de fond sous zéro n'a été observée au-dessus des Shallows en septembre 2006.","Pour la quatrième année depuis 2001, aucune eau de fond inférieure à zéro n’a été observée au-dessus des Shallows en septembre 2006.","Pour la quatrième année depuis 2001, aucune eau de fond sous zéro n'a été observée au-dessus des Shallows en septembre 2006.","Pour la quatrième année depuis 2001, il n'y a pas eu d'eau de fond inférieure à zéro au-dessus des Shallows en septembre 2006.","Pour la quatrième année depuis 2001, il n'y a pas eu d'eau inférieure à zéro au-dessus des basses terres en septembre 2006.","Pour la quatrième année depuis 2001, il n'y a pas eu d'eau de fond subzéro dans les eaux peu profondes en septembre 2006",test_data
"Fuelled by exceptional recruitment, the stock rebuilt in the 1980s (Swain and Sinclair 2000), but collapsed in the early 1990s as fishing mortality increased rapidly (Figure 28b)",en,"Bien qu un taux exceptionnel de recrutement ait permis au stock de se rétablir au cours des années 1980 (Swain et Sinclair, 2000), le stock de morue s'est effondré au début des années 1990 avec l'accroissement rapide de la mortalité par pêche (Figure 28b)","Incorporé par un recrutement exceptionnel, le stock a été reconstruit dans les années 1980 (Swain et Sinclair 2000), mais s'est effondré au début des années 1990 comme la mortalité de la pêche a rapidement augmenté (Figure 28b)","En raison du recrutement exceptionnel, le stock s'est rétablit au cours des années 80 (Swain et Sinclair 2000), mais s'est effondré au début des années 90 à mesure que la mortalité par pêche augmentait rapidement (figure 28b).","En raison d’un recrutement exceptionnel, le stock a été reconstruit dans les années 80 (Swain et Sinclair 2000), mais a échoué au début des années 1990 à la suite d’une augmentation rapide de la mortalité due à la pêche (figure 28b)","En raison d'un recrutement exceptionnel, le stock a été rétabli dans les années 80 (Swain et Sinclair 2000), mais a échoué au début des années 90 à la suite d'une augmentation rapide de la mortalité par pêche (Figure 28b)","Soutenu par un recrutement exceptionnel, le stock s'est reconstruit dans les années 80 (Swain et Sinclair 2000), mais s'est effondré au début des années 90 en raison de l'augmentation rapide de la mortalité par pêche (graphique 28b).","Alimenté par un recrutement exceptionnel, le stock s’est reconstitué dans les années 1980 (Swain et Sinclair 2000), mais s’est effondré au début des années 1990 alors que la mortalité par pêche augmentait rapidement (figure 28b).","Alimenté par un recrutement exceptionnel, le stock s'est reconstitué dans les années 1980 (Swain et Sinclair 2000), mais s'est effondré au début des années 1990 à mesure que la mortalité par pêche augmentait rapidement (figure 28b).",test_data
"En 2005, le CNEPMM a examiné des estimations de l'abondance des bélugas de 2004 faites à partir de relevés visuels le long de transects linéaires dans l'Est de la baie d'Hudson; selon ces estimations, l'abondance était plus élevée que ce qui avait été prévu à partir des relevés précédents (1993 et 2001)",fr,"In 2005, the NMMPRC reviewed the 2004 visual line transect abundance estimates of belugas in eastern Hudson Bay that indicated higher abundance than anticipated from previous surveys (1993 and 2001)","In 2005, the CNEPMM examined estimates of the abundance of 2004 belugues made from visual records along linear transects in the east of the Hudson Bay; according to these estimates, the abundance was higher than expected from previous reports (1993 and 2001)","In 2005, CNEPMM examined the abundance estimates of 2004 beluga from visual surveys along linear transects in the eastern Hudson Bay; these estimates indicated that abundance was higher than predicted from previous surveys (1993 and 2001).","In 2005, CNEPMM reviewed estimates of 2004 belugas abundance from visual surveys along linear transects in eastern Hudson Bay; these estimates indicated that the abundance was higher than predicted from previous surveys (1993 and 2001)","In 2005, CNEPMM reviewed estimates of 2004 beluga abundance from visual surveys along linear transects in Eastern Hudson Bay; based on these estimates, the abundance was higher than predicted from previous surveys (1993 and 2001)","In 2005, the CNEPMM reviewed estimates of 2004 beluga abundance made from visual surveys along linear transects in eastern Hudson Bay; according to these estimates, the abundance was higher than predicted from previous surveys (1993 and 2001)","In 2005, CNEPMM examined estimates of 2004 beluga abundance from visual surveys along linear transects in eastern Hudson Bay, which were higher than previously estimated (1993 and 2001).","In 2005, the NCEPMM examined estimates of 2004 beluga abundance from visual surveys along linear transects in eastern Hudson Bay; based on these estimates, abundance was higher than expected from previous surveys (1993 and 2001).",test_data
"En 1995, on note toutefois une légère augmentation du nombre de poissons de plus de 35 cm",fr,"However, in 1995 the number of fish greater than 35cm show a slight increase","In 1995, however, there was a slight increase in the number of fish over 35 cm.","In 1995, however, there was a slight increase in the number of fish greater than 35 cm.","In 1995, however, there was a slight increase in the number of fish over 35 cm","In 1995, however, there was a slight increase in the number of fish over 35 cm","In 1995, however, there was a slight increase in the number of fish over 35 cm","In 1995, however, there was a slight increase in the number of fish over 35 cm.","However, in 1995, there was a slight increase in the number of fish over 35 cm.",test_data
"À partir de 1998, d'importantes mesures de gestion de la pêche ont été prises afin de réduire la mortalité liée à la pêche chez les stocks de saumon coho du sud de la Colombie-Britannique, et plus précisément chez le saumon coho du Fraser intérieur",fr,"Beginning in 1998, significant fishery management measures were taken in order to reduce the fishery-related mortality on southern BC Coho Salmon stocks and on Interior Fraser Coho Salmon in particular","Since 1998, significant fishing management measures have been taken to reduce fishing-related mortality in the coho salmon stocks in Southern British Columbia, and more specifically in the coho salmon in the interior Fraser.","Since 1998, important fishery management measures have been taken to reduce fishing-related mortality in Southern British Columbia coho salmon stocks, and more specifically in interior Fraser coho salmon.","Since 1998, significant fisheries management measures have been taken to reduce fisheries-related mortality among stocks of coho salmon in southern British Columbia, and specifically inland Fraser coho salmon","Since 1998, significant fishery management measures have been taken to reduce fishing-related mortality in southern BC Coho Salmon stocks, specifically domestic Fraser Coho Salmon.","From 1998 onwards, significant fisheries management measures were taken to reduce fishing-related mortality in the coho salmon stocks of southern British Columbia, and more specifically in the coho salmon of the Inner Fraser.","Beginning in 1998, significant fisheries management measures were taken to reduce fishing-related mortality in coho salmon stocks in southern British Columbia, specifically in inland Fraser coho salmon.","Beginning in 1998, significant fishery management measures were taken to reduce fishing-related mortality on southern BC Coho Salmon stocks, specifically Interior Fraser Coho Salmon.",test_data
Les auteurs ont-ils un moyen de standardiser le chalut servant aux relevés,fr,Do the authors have a means of standardizing the research trawl,The authors have a way to standardize the chalut serving to the reports,Do the authors have a way to standardize the trawl used in the surveys?,Do the authors have a means of standardizing the trawl used in the surveys,Do the authors have a way to standardize the trawl used in the surveys,Do the authors have a means of standardizing the trawl used for surveys?,Do the authors have a way to standardize the trawl used for surveys?,Do the authors have a way to standardize the trawl used in the surveys.,test_data
"À partir des données du relevé aérien de 2014, on a estimé que la population comptait 1 151 bélugas (IC à 95 : de 760 à 1 744 individus; MPO 2016)",fr,"A population of 1,151 (95 CI: 760 1,744) beluga was estimated from the 2014 aerial survey (DFO 2016)","According to data from the 2014 air report, the population was estimated to be 1,151 belugas (IC to 95: from 760 to 1,744 individuals; MPO 2016)","Based on the 2014 aerial survey data, the population was estimated to be 1,151 belugas (95 IC: from 760 to 1,744 individuals; DFO 2016)","Based on data from the 2014 air survey, the population was estimated to be 1,151 belugas (95% CI: 760 to 1,744 individuals; DFO 2016).","Based on the 2014 aerial survey data, the population was estimated to be 1,151 beluga (95 CI: 760 to 1,744 individuals; DFO 2016).","Based on 2014 aerial survey data, the population was estimated to number 1,151 belugas (IC at 95: from 760 to 1,744 individuals; MPO 2016)","Based on the 2014 aerial survey data, the population was estimated to be 1,151 belugas (CI 95: 760 to 1,744 individuals; DFO 2016).","Based on the 2014 aerial survey data, the population was estimated to be 1,151 belugas (95 CI: 760 to 1,744 individuals; DFO 2016).",test_data
"Le Plan de gestion intégrée des pêches (MPO 2014) comprend des points critiques basés sur l'abondance pour des mesures de pêche canadiennes, mais il n'existe pas de points de référence semblables pour la gestion du saumon coho de la rivière Taku dans le cadre des pêches alaskiennes",fr,"The Integrated Fisheries Management Plan (DFO 2014) includes abundance-based trigger points for Canadian harvest measures, but no similar management reference points specific to Taku River Coho Salmon are in place for the Alaskan fisheries which harvest larger aggregates and account for the bulk of the total ER of Taku River Coho Salmon","The Integrated Fisheries Management Plan (MPO 2014) includes critical points based on abundance for Canadian fishing measures, but there are no similar reference points for the management of Taku River coho salmon within the framework of Alaska fishing","The Integrated Fisheries Management Plan (DFO 2014) includes abundance-based critical points for Canadian fishing measures, but there are no similar reference points for management of Taku Coho Salmon in the Alaska fisheries.","The Integrated Fisheries Management Plan (DFO 2014) includes abundance-based critical points for Canadian fisheries measures, but there are no similar reference points for the management of Taku River coho salmon in Alaskan fisheries.","The Integrated Fisheries Management Plan (DFO 2014) includes abundance-based critical points for Canadian fisheries measures, but there are no similar reference points for the management of Taku River Coho Salmon in the Alaskan fisheries.","The Integrated Fisheries Management Plan (IFM 2014) includes abundance-based critical points for Canadian fisheries measures, but there are no similar reference points for the management of Taku River coho salmon in the Alaskan fisheries.","The Integrated Fisheries Management Plan (IFM) (DFO 2014) includes abundance-based critical points for Canadian fisheries measures, but there are no similar reference points for the management of Taku River coho salmon in the Alaskan fisheries.","The Integrated Fisheries Management Plan (DFO 2014) includes abundance-based critical points for Canadian fisheries measures, but there are no similar reference points for managing Taku River Coho Salmon in the Alaskan fisheries.",test_data
"Predators of Snow Crab are Atlantic Halibut, skates (especially Thorny Skate), Atlantic Cod, seals, American Plaice, squids, and other crabs",en,"Les prédateurs connus du crabe des neiges sont le flétan atlantique, la raie (en particulier la raie épineuse), la morue franche, le phoque, la plie canadienne, le calmar et les autres crabes","Les prédateurs du Crab de neige sont le Halibut Atlantique, les skates (en particulier le Thorny Skate), le Cod Atlantique, les seaux, le Plaice américain, les squids et d'autres crabs.","Les prédateurs du crabe des neiges sont le flétan de l'Atlantique, les crevettes (en particulier le crabe de Thorny), la morue de l'Atlantique, les phoques, la plie d'Amérique, les squids et d'autres crabes.","Les prédateurs du crabe des neiges sont l’halibut de l’Atlantique, les patins (surtout les patins Thorny), la morue de l’Atlantique, les phoques, la glace américaine, les sculpins et d’autres crabs.","Les prédateurs du crabe des neiges sont le flétan de l'Atlantique, les raies (en particulier la raie tachetée), la morue franche, les phoques, la plie canadienne, les larves et les autres crabes.","Les prédateurs du crabe des neiges sont le flétan de l'Atlantique, les patins (en particulier le patin épineux), la morue de l'Atlantique, les phoques, le crabe américain, les calmares et d'autres crabes.","Les prédateurs du crabe des neiges sont le flétan de l'Atlantique, les patins (en particulier le raie épineuse), la morue de l'Atlantique, les phoques, la plie américaine, les calmars et autres crabes.","Les prédateurs du crabe des neiges sont le flétan atlantique, les raies (en particulier la raie épineuse), la morue franche, les phoques, la plie canadienne, les calmars et d'autres crabes.",test_data
Anderson 10:00 BREAK 52 10:30 Special presentation: Upper trophic level surprises off British Columbia during the 1990s and their physical and biological oceanographic drivers: global changes in action,en,Anderson 10 h 00 PAUSE 10 h 30 Présentation spéciale : surprises au niveau trophique supérieur au large de la Colombie-Britannique pendant les années 1990 et facteurs océanographiques physiques et biologiques connexes : résultat des changements planétaires,Anderson 10:00 BREAK 52 10:30 Présentation spéciale: Surprises tropicales supérieures de la Colombie Britannique au cours des années 1990 et leurs conducteurs physiques et biologiques océaniographiques: changements mondiaux dans l'action,Anderson 10 h 52 h 10:30 Présentation spéciale : Surprises au niveau trophique supérieur de la Colombie-Britannique au cours des années 90 et leurs facteurs océanographiques physiques et biologiques : changements mondiaux dans l'action,Anderson 10:00 BREAK 52 10:30 Présentation spéciale : Surprises du niveau trophique supérieur au large de la Colombie-Britannique durant les années 1990 et leurs facteurs océanographiques physiques et biologiques : changements mondiaux en action,Anderson 10:00 BREAK 52 10:30 Présentation spéciale : Surprises du niveau trophique supérieur au large de la Colombie-Britannique au cours des années 90 et leurs facteurs océanographiques physiques et biologiques : changements mondiaux en action,Anderson 10:00 BREAK 52 10:30 Présentation spéciale: Surprises du niveau trophique supérieur au large de la Colombie-Britannique au cours des années 1990 et leurs facteurs océanographiques physiques et biologiques: changements mondiaux en action,Anderson 10:00 BREAK 52 10:30 Présentation spéciale: Les surprises du niveau trophique supérieur au large de la Colombie-Britannique dans les années 1990 et leurs moteurs océanographiques physiques et biologiques: changements globaux en action,Anderson 10:00 BREAK 52 10:30 Présentation spéciale : Les surprises du niveau trophique supérieur au large de la Colombie-Britannique dans les années 90 et leurs facteurs océanographiques physiques et biologiques : changements globaux dans l'action,test_data
Johnson (1980) suggested that an exploitation rate 10 may be detrimental for population persistence in this species,en,Johnson (1980) a suggéré qu un taux d'exploitation d'environ 10 pourrait nuire à la persistance de la population de cette espèce,Johnson (1980) a suggéré qu'un taux d'exploitation 10 pourrait nuire à la persistance de la population dans cette espèce,Johnson (1980) suggère qu un taux d'exploitation 10 pourrait nuire à la persistance de la population de cette espèce.,Johnson (1980) suggère qu'un taux d'exploitation de 10 peut être préjudiciable à la persistance de la population de cette espèce.,Johnson (1980) suggère qu un taux d'exploitation de 10 peut être nocif pour la persistance de la population de cette espèce.,Johnson (1980) a suggéré qu'un taux d'exploitation de 10 pourrait être préjudiciable à la persistance de la population de cette espèce.,Johnson (1980) a suggéré qu'un taux d'exploitation 10 pourrait nuire à la persistance des populations de cette espèce.,Johnson (1980) a suggéré qu un taux d'exploitation de 10 pourrait nuire à la persistance de la population de cette espèce.,test_data
